State, FIPS,Met_Healthy_People_Objective of,"Age_Adjusted_Incidence_Rate_cases_per_100,000","Lower_95%_Confidence_Interval","Upper_95%_Confidence_Interval",Average_Annual_Count,Recent_Trend,"Recent_5_Year_Trend_in_Incidence_Rates","Lower_95%_Confidence_Interval","Upper_95%_Confidence_Interval"
"US (SEER+NPCR)(1,10)",00000,***,1983.5 ,1981.6, 1985.3,900671,falling,-1.4 ,-2.2, -0.6
"Petroleum County, Montana(6,10)",30069,***,3147.8 ,1823.4, 5061.6,3,stable,-22.2 ,-66.5, 81.0
"Union County, Florida(6,10)",12125,***,3017.4 ,2669.4, 3399.8,60,falling,-10.4 ,-18.9, -1.0
"Polk County, Texas(6,10)",48373,***,2990.9 ,2822.2, 3167.2,251,stable,1.4 ,-2.3, 5.3
"Logan County, Nebraska(6,10)",31113,***,2925 ,1807.5, 4467.5,4,*,*,*,*
"Hanson County, South Dakota(6,10)",46061,***,2867.7 ,2142.3, 3755.2,12,stable,4.0 ,-19.0, 33.4
"Daggett County, Utah(7)",49009,***,2820.4 ,1879.4, 4062.7,6,*,*,*,*
"Catahoula Parish, Louisiana(7,8)",22025,***,2752.2 ,2395.1, 3147.9,43,stable,-10.1 ,-21.2, 2.5
"Vilas County, Wisconsin(6,10)",55125,***,2744.9 ,2560.5, 2939.1,166,stable,-4.7 ,-13.8, 5.3
"Golden Valley County, Montana(6,10)",30037,***,2701.7 ,1772.7, 3950.4,5,stable,-9.9 ,-44.1, 45.2
"Prairie County, Montana(6,10)",30079,***,2701.2 ,1924, 3683.7,8,stable,16.3 ,-45.7, 148.8
"Kingsbury County, South Dakota(6,10)",46077,***,2694.1 ,2265.4, 3179.1,29,stable,-2.5 ,-16.7, 14.2
"Treasure County, Montana(6,10)",30103,***,2692 ,1732.4, 3993.5,5,stable,-8.0 ,-31.4, 23.6
"Hamilton County, New York(7,8)",36041,***,2676.7 ,2275.9, 3127.4,33,stable,-1.1 ,-3.1, 0.9
"Taylor County, Kentucky(7,8)",21217,***,2641.4 ,2426.3, 2870.5,112,stable,0.9 ,-0.3, 2.2
"Carroll County, Kentucky(7,8)",21041,***,2625.3 ,2268, 3023.1,40,stable,-0.2 ,-1.6, 1.3
"Pickens County, Georgia(7,8)",13227,***,2619.3 ,2430.1, 2819.6,153,stable,1.1 ,-0.2, 2.4
"Logan County, Illinois(6,10)",17107,***,2605.7 ,2406.8, 2816.7,130,stable,-2.5 ,-14.1, 10.7
"Oliver County, North Dakota(6,10)",38065,***,2585.1 ,1830.4, 3539,8,stable,5.0 ,-23.9, 44.9
"Decatur County, Iowa(7,8)",19053,***,2583.7 ,2228.1, 2979.4,38,stable,0.5 ,-0.3, 1.3
"Dewey County, South Dakota(6,10)",46041,***,2568.9 ,2001, 3249.8,14,stable,-16.9 ,-39.2, 13.5
"Mellette County, South Dakota(6,10)",46095,***,2566 ,1775.9, 3579.4,7,stable,-7.1 ,-51.9, 79.3
"Cape May County, New Jersey(7,8)",34009,***,2565 ,2471.2, 2661.4,573,falling,-0.7 ,-1.2, -0.2
"Minnehaha County, South Dakota(6,10)",46099,***,2560.5 ,2461.1, 2662.7,526,stable,-2.2 ,-9.2, 5.2
"Thomas County, Nebraska(6,10)",31171,***,2550.2 ,1474.6, 4094.6,4,*,*,*,*
"North Slope Borough, Alaska(6,10)",02185,***,2546.5 ,1904.7, 3335.7,12,stable,-5.6 ,-27.5, 23.0
"Shelby County, Missouri(6,10)",29205,***,2536 ,2141.8, 2980.9,30,stable,3.2 ,-5.9, 13.2
"Page County, Iowa(7,8)",19145,***,2517.5 ,2273.9, 2780,81,rising,0.7 ,0.1, 1.3
"Meagher County, Montana(6,10)",30059,***,2510.2 ,1894.2, 3261.2,12,falling,-22.9 ,-38.3, -3.5
"Greene County, Iowa(7,8)",19073,***,2506.2 ,2193.3, 2850.7,48,stable,0.7 ,-0.2, 1.5
"De Witt County, Illinois(6,10)",17039,***,2504.9 ,2250.5, 2780.1,72,stable,-6.0 ,-16.2, 5.4
"Montgomery County, Kentucky(7,8)",21173,***,2504.5 ,2283.6, 2741,98,stable,0.8 ,-0.5, 2.1
"Trimble County, Kentucky(7,8)",21223,***,2503.2 ,2122.7, 2932,32,stable,0.7 ,-1.8, 3.3
"Calhoun County, Arkansas(6,10)",05013,***,2502.5 ,2081.9, 2983,25,stable,3.6 ,-5.8, 14.0
"Clark County, Kentucky(7,8)",21049,***,2500 ,2316.9, 2693.7,142,stable,0.0 ,-1.4, 1.5
"Aleutians West Census Area, Alaska(6,10)",02016,***,2496.7 ,1399, 4094.5,5,stable,-3.3 ,-41.0, 58.5
"Oneida County, Wisconsin(6,10)",55085,***,2491.3 ,2340.1, 2649.7,204,stable,-7.1 ,-17.6, 4.6
"Hyde County, South Dakota(6,10)",46069,***,2484.4 ,1754, 3409.8,8,stable,3.1 ,-30.1, 52.0
"Bracken County, Kentucky(7,8)",21023,***,2483.6 ,2106.8, 2909.1,32,stable,0.5 ,-2.0, 3.2
"Potter County, South Dakota(6,10)",46107,***,2477.4 ,1953.2, 3098.5,16,stable,0.8 ,-30.8, 47.0
"Gallatin County, Kentucky(7,8)",21077,***,2477.3 ,2050, 2968.2,26,stable,0.4 ,-2.0, 2.9
"Lee County, Kentucky(7,8)",21129,***,2475.7 ,2075.3, 2931.4,28,stable,-0.3 ,-1.9, 1.4
"Yukon-Koyukuk Census Area, Alaska(6,10)",02290,***,2473.5 ,1941.5, 3107.4,16,stable,1.6 ,-15.1, 21.6
"Wyoming County, New York(7,8)",36121,***,2469.4 ,2294.4, 2654.1,152,stable,-0.5 ,-1.8, 0.7
