ZIP,COUNTYNAME
36003,Autauga County
36006,Autauga County
36008,Autauga County
36022,Autauga County
36051,Autauga County
36066,Autauga County
36067,Autauga County
36091,Autauga County
36703,Autauga County
36749,Autauga County
36758,Autauga County
36502,Baldwin County
36507,Baldwin County
36511,Baldwin County
36526,Baldwin County
36527,Baldwin County
36530,Baldwin County
36532,Baldwin County
36535,Baldwin County
36542,Baldwin County
36549,Baldwin County
36550,Baldwin County
36551,Baldwin County
36555,Baldwin County
36559,Baldwin County
36561,Baldwin County
36562,Baldwin County
36564,Baldwin County
36567,Baldwin County
36574,Baldwin County
36576,Baldwin County
36578,Baldwin County
36579,Baldwin County
36580,Baldwin County
36016,Barbour County
36017,Barbour County
36027,Barbour County
36048,Barbour County
36053,Barbour County
36311,Barbour County
36317,Barbour County
36374,Barbour County
35034,Bibb County
35035,Bibb County
35042,Bibb County
35074,Bibb County
35111,Bibb County
35115,Bibb County
35184,Bibb County
35188,Bibb County
35456,Bibb County
36750,Bibb County
36792,Bibb County
36793,Bibb County
35013,Blount County
35016,Blount County
35031,Blount County
35049,Blount County
35063,Blount County
35079,Blount County
35097,Blount County
35121,Blount County
35126,Blount County
35133,Blount County
35146,Blount County
35172,Blount County
35180,Blount County
35952,Blount County
35957,Blount County
35976,Blount County
35980,Blount County
36005,Bullock County
36029,Bullock County
36031,Bullock County
36052,Bullock County
36053,Bullock County
36089,Bullock County
36015,Butler County
36030,Butler County
36032,Butler County
36033,Butler County
36037,Butler County
36042,Butler County
36071,Butler County
36456,Butler County
35096,Calhoun County
35905,Calhoun County
36201,Calhoun County
36203,Calhoun County
36204,Calhoun County
36205,Calhoun County
36206,Calhoun County
36207,Calhoun County
36250,Calhoun County
36253,Calhoun County
36254,Calhoun County
36257,Calhoun County
36260,Calhoun County
36265,Calhoun County
36271,Calhoun County
36272,Calhoun County
36277,Calhoun County
36279,Calhoun County
36274,Chambers County
36276,Chambers County
36801,Chambers County
36850,Chambers County
36852,Chambers County
36854,Chambers County
36855,Chambers County
36862,Chambers County
36863,Chambers County
36879,Chambers County
35901,Cherokee County
35903,Cherokee County
35959,Cherokee County
35960,Cherokee County
35961,Cherokee County
35967,Cherokee County
35973,Cherokee County
